result:app id,http request,http request errors,active sessions,active users,avg load time,avg spin,avg latency,avg data in,avg data out,avg disk,avg mem,avg cpu,avg frame rate,crashes,errors,exceptions,session length,session counter,arr session counter,avg battery
TIXCHANGE,485,8,-1,86,175.0,-1,1910.2075471698113,406.0,280.0,0.7579379081726074,1.8946120738983154,17.602575302124023,0.0,40,-1,-1,704351.0,204,0,58.67172622680664
HelloWorld2,105,0,-1,12,78.0,-1,1666.1238095238095,37.0,0.0,0.20000000298023224,1.1492646932601929,3.064558744430542,0.0,4,-1,-1,16895.0,55,0,100.0
Carssv 0806,0,0,-1,5,232.0,-1,0.0,0.0,0.0,0.20000000298023224,1.284000039100647,1.9259999990463257,0.0,0,-1,-1,151.0,5,0,100.0
JSTickets,8,2,-1,4,118.0,-1,1336.0,236.0,18.0,0.20000000298023224,3.0899999141693115,1.9600000381469727,0.0,0,-1,-1,36545.0,4,0,100.0
BCW D1,17,0,-1,3,52.0,-1,3756.176470588235,274.0,0.0,0.20000000298023224,1.7281818389892578,0.4745454788208008,0.0,0,-1,-1,64162.0,13,0,100.0
TEMPO,0,0,-1,3,796.0,-1,0.0,0.0,0.0,1.0,0.0,52.45000076293945,0.0,0,-1,-1,127837.0,7,0,89.5
eBay,1374,98,-1,3,263190.0,-1,615.8918495297805,13296.0,4684.0,1.0,0.0,35.61778259277344,0.0,0,-1,-1,667482.0,5,0,52.63190841674805
FS Sparekassen,12,0,-1,2,2556.0,-1,468.0833333333333,4409.0,2972.0,1.0,0.0,33.54545593261719,0.0,0,-1,-1,136489.0,2,0,51.34090805053711
Janne1,31,0,-1,2,744.0,-1,1331.258064516129,22277.0,5325.0,50.613746643066406,5.478750228881836,40.51750183105469,0.0,0,-1,-1,37896.0,4,0,87.375
RESTHelloWorld,18,1,-1,2,464.0,-1,1625.7058823529412,0.0,0.0,64.82875061035156,1.8799999952316284,9.353750228881836,0.0,1,-1,-1,803286.0,5,0,56.25
VZW Harish,0,0,-1,1,202.0,-1,0.0,0.0,0.0,0.20000000298023224,1.090000033378601,16.298999786376953,0.0,0,-1,-1,170.0,1,0,100.0
CK5029,294,144,-1,1,369.0,-1,260.7266666666667,2775.0,856.0,0.0,0.0,0.0,0.0,0,-1,-1,76688.0,10,0,97.5882339477539
TDC Play,1,0,-1,1,1076.0,-1,1416.0,6734.0,2558.0,1.0,0.0,38.0,0.0,0,-1,-1,10351.0,1,0,61.0
APM101 Test,1,0,-1,1,80.0,-1,3609.0,294.0,0.0,0.20000000298023224,2.055000066757202,0.7200000286102295,0.0,0,-1,-1,14458.0,1,0,100.0
CKLOCATION,0,0,-1,1,5114.0,-1,0.0,0.0,0.0,10.984999656677246,2.7850000858306885,11.5649995803833,0.0,0,-1,-1,28947.0,2,0,0.5
Dt.Post,7,0,-1,1,2590426.0,-1,712.1428571428571,6548.0,2959.0,1.0,0.0,60.71428680419922,0.0,0,-1,-1,24195.0,1,0,90.0
per page:10,page:1,total records:16
