result:app id,http request,http request errors,active sessions,active users,avg load time,avg spin,avg latency,avg data in,avg data out,avg disk,avg mem,avg cpu,avg frame rate,crashes,errors,exceptions,session length,session counter,arr session counter,avg battery
TIXCHANGE,1266,30,-1,240,5.496277802E9,-1,2125.7645631067962,926.0,5022.0,2.978757619857788,2.099548101425171,12.372119903564453,0.0,273,-1,-1,410365.0,787,0,83.26134490966797
Cars 1521,0,0,-1,23,122.0,-1,0.0,0.0,0.0,0.20000001788139343,3.7532145977020264,9.548035621643066,0.0,9,-1,-1,46926.0,45,0,91.85713958740234
HelloWorld2,105,0,-1,12,78.0,-1,1666.1238095238095,37.0,0.0,0.20000000298023224,1.1492646932601929,3.064558744430542,0.0,4,-1,-1,16895.0,55,0,100.0
myATT,467,18,-1,8,0.0,-1,951.3429844097996,72.0,25.0,6.334286212921143,4.781428337097168,23.019287109375,0.0,0,-1,-1,61978.0,12,0,69.77143096923828
Santander RIO,422,0,-1,7,475.0,-1,4913.3436018957345,7460.0,3998.0,16.665523529052734,0.5731343030929565,17.37671661376953,0.0,0,-1,-1,44233.0,52,0,54.22835922241211
Carssv 0806,0,0,-1,5,232.0,-1,0.0,0.0,0.0,0.20000000298023224,1.284000039100647,1.9259999990463257,0.0,0,-1,-1,151.0,5,0,100.0
eBay,2791,101,-1,5,349599.0,-1,548.371375464684,15041.0,4061.0,1.0,0.0,36.258148193359375,0.0,0,-1,-1,810219.0,8,0,68.21235656738281
testapp,20,12,-1,4,0.0,-1,43.75,4981.0,576.0,49.25,56.1875,55.8125,47.3125,4,-1,-1,4184.0,4,0,48.1875
JSTickets,8,2,-1,4,118.0,-1,1336.0,236.0,18.0,0.20000000298023224,3.0899999141693115,1.9600000381469727,0.0,0,-1,-1,36545.0,4,0,100.0
SafeWay App,858,21,-1,4,0.0,-1,1141.2628434886499,7774.0,1290.0,20.401248931884766,6.60812520980835,21.799936294555664,0.0,0,-1,-1,75391.0,15,0,84.7406234741211
Banco BCI,201,4,-1,3,2116.0,-1,772.3045685279188,2404.0,11724.0,47.776668548583984,9.827500343322754,40.388336181640625,0.0,0,-1,-1,73972.0,12,0,82.39083862304688
FS Sparekassen,18,1,-1,3,1969.0,-1,445.29411764705884,4393.0,3018.0,1.0,0.0,33.85950469970703,0.0,0,-1,-1,82232.0,4,0,52.14049530029297
BCW D1,17,0,-1,3,52.0,-1,3756.176470588235,274.0,0.0,0.20000000298023224,1.7281818389892578,0.4745454788208008,0.0,0,-1,-1,64162.0,13,0,100.0
TEMPO,0,0,-1,3,796.0,-1,0.0,0.0,0.0,1.0,0.0,52.45000076293945,0.0,0,-1,-1,127837.0,7,0,89.5
Dt.Post,8,0,-1,3,865324.0,-1,687.375,6304.0,2939.0,0.978723406791687,0.0,51.51063919067383,0.0,4,-1,-1,7799.0,6,0,83.65957641601562
BHTV,53,14,-1,2,0.0,-1,632.4358974358975,26364.0,118.0,0.20000000298023224,1.7899999618530273,1.9600000381469727,0.0,0,-1,-1,16413.0,2,0,100.0
00MFCK,158,0,-1,2,449.0,-1,313.00632911392404,448.0,31286.0,38.747779846191406,1.0444444417953491,3.696666717529297,0.0,0,-1,-1,64345.0,5,0,94.63444519042969
RESTHelloWorld,18,1,-1,2,464.0,-1,1625.7058823529412,0.0,0.0,64.82875061035156,1.8799999952316284,9.353750228881836,0.0,1,-1,-1,803286.0,5,0,56.25
CustomInfo StringDouble,0,0,-1,2,0.0,-1,0.0,0.0,0.0,27.3179988861084,1.7330000400543213,49.40599822998047,0.0,1,-1,-1,79597.0,3,0,50.0
InterMountain,1,0,-1,2,185.0,-1,69.0,5865.0,4463.0,5.049999713897705,18.577272415161133,7.01909065246582,0.0,0,-1,-1,170527.0,4,0,100.0
Janne1,31,0,-1,2,744.0,-1,1331.258064516129,22277.0,5325.0,50.613746643066406,5.478750228881836,40.51750183105469,0.0,0,-1,-1,37896.0,4,0,87.375
FWBankingV1,0,0,-1,2,0.0,-1,0.0,0.0,0.0,0.20000000298023224,1.3700000047683716,0.12200000137090683,0.0,0,-1,-1,17716.0,5,0,0.0
Test-BrightHouse,319,16,-1,2,0.0,-1,1704.5841584158416,15784.0,12.0,0.20000000298023224,5.509999752044678,18.0977783203125,0.0,0,-1,-1,8460.0,4,0,89.55555725097656
CustomMetricsSample,0,0,-1,1,0.0,-1,0.0,0.0,0.0,26.845001220703125,1.715000033378601,44.07500076293945,0.0,0,-1,-1,117831.0,1,0,50.0
CK5029,294,144,-1,1,369.0,-1,260.7266666666667,2775.0,856.0,0.0,0.0,0.0,0.0,0,-1,-1,76688.0,10,0,97.5882339477539
TDC Play,1,0,-1,1,1076.0,-1,1416.0,6734.0,2558.0,1.0,0.0,38.0,0.0,0,-1,-1,10351.0,1,0,61.0
APM101 Test,1,0,-1,1,80.0,-1,3609.0,294.0,0.0,0.20000000298023224,2.055000066757202,0.7200000286102295,0.0,0,-1,-1,14458.0,1,0,100.0
CheckingCustomMetrics3,0,0,-1,1,0.0,-1,0.0,0.0,0.0,26.303335189819336,1.6233333349227905,81.6500015258789,0.0,0,-1,-1,14229.0,2,0,50.0
CheckCustomMetrics2,0,0,-1,1,0.0,-1,0.0,0.0,0.0,27.204999923706055,1.6150000095367432,56.70000076293945,0.0,0,-1,-1,130194.0,1,0,50.0
CusomMetricsSample7,0,0,-1,1,0.0,-1,0.0,0.0,0.0,27.338823318481445,1.9523528814315796,59.37058639526367,0.0,0,-1,-1,542394.0,3,0,50.0
Test,297,20,-1,1,0.0,-1,2160.2779783393503,19494.0,110.0,0.19999998807907104,4.4522223472595215,18.942222595214844,0.0,0,-1,-1,37072.0,4,0,82.22222137451172
MiPage,0,0,-1,1,1070.0,-1,0.0,0.0,0.0,51.720001220703125,14.956665992736816,63.973331451416016,0.0,0,-1,-1,72870.0,1,0,65.0
CKLOCATION,0,0,-1,1,5114.0,-1,0.0,0.0,0.0,10.984999656677246,2.7850000858306885,11.5649995803833,0.0,0,-1,-1,28947.0,2,0,0.5
CustomInfo CustomDouble,0,0,-1,1,0.0,-1,0.0,0.0,0.0,27.321428298950195,1.6742857694625854,49.631431579589844,0.0,3,-1,-1,44759.0,3,0,50.0
VZW Harish,0,0,-1,1,202.0,-1,0.0,0.0,0.0,0.20000000298023224,1.090000033378601,16.298999786376953,0.0,0,-1,-1,170.0,1,0,100.0
Schwab,168,0,-1,1,743.0,-1,384.82738095238096,11746.0,19671.0,69.2699966430664,8.0024995803833,27.87125015258789,0.0,0,-1,-1,43964.0,8,0,100.0
CutomMetricsSample3,0,0,-1,1,0.0,-1,0.0,0.0,0.0,27.31999969482422,1.7318180799484253,42.63090896606445,0.0,0,-1,-1,195154.0,1,0,50.0
CustomInfo CustomAndDouble,0,0,-1,1,0.0,-1,0.0,0.0,0.0,27.290000915527344,1.6666666269302368,75.58666229248047,0.0,0,-1,-1,87328.0,2,0,50.0
Scotiabank Peru,0,0,-1,1,315.0,-1,0.0,0.0,0.0,53.87154006958008,1.8876923322677612,45.105384826660156,0.0,0,-1,-1,51699.0,9,0,95.46154022216797
CustomMetricsSample5,0,0,-1,1,0.0,-1,0.0,0.0,0.0,27.328332901000977,1.743333339691162,48.46000289916992,0.0,0,-1,-1,125189.0,1,0,50.0
