platformversion:platformversion,crash count
Android 4.1.1,0
Android 4.1.2,12
Android 4.2.1,0
Android 4.4.2,68
Android 4.4.3,0
Android 4.2.2,30
Android 4.0.4,0
iOS 8.0.2,2
iOS 8.1.1,56
iOS 8.1.2,391
iOS 7.0.6,34
iOS 7.1.1,6
iOS 7.1.2,28
iOS 7.0.4,5
iOS 8.1.3,150
iOS 8.4.1,131
Android 4.4.4,31
Android 5.0,97
Android 5.1,31
Android 4.3,24
iOS 6.1,3
Android 5.0.1,68
iOS 7.1,7
iOS 8.0,87
iOS 8.1,166
Android 5.0.2,112
Android 5.1.1,1
iOS 9.0,41
iOS 8.2,153
iOS 8.3,462
iOS 8.4,314
platform:platform,crash count
iOS,2036
Android,474
per page:10,page:1,device:device make,crash count
Sony,4
Dell,5
chromium,0
ZTE,0
LGE,1
unknown,7
Apple,219
LENOVO,0
samsung,14
HTC,3
motorola,1
Genymotion,0
asus,0
data:time unit,crash count
2015-01-01 00:00:00,626
2015-02-01 00:00:00,248
2015-03-01 00:00:00,193
2015-04-01 00:00:00,344
2015-05-01 00:00:00,241
2015-06-01 00:00:00,202
2015-07-01 00:00:00,302
2015-08-01 00:00:00,210
2015-09-01 00:00:00,250
carrier:carrier,crash count
Movistar,2
att,1
Telekom.de,2
ENTEL,3
No Network,2
AIS (AWN),2
Android,5
MOVISTAR,2
IND airtel,1
Verizon,11
WiFi,101
SingTel,1
ANDROID,2
LTE,15
WIFI,86
No Network Connection,1
SFR,3
OFFLINE,0
AT&T,14
total records:9,total summary:first occurrence:2014-12-30T18:45:37.00Z,last occurrence:2015-12-17T16:38:19.00Z,percent of all users:100,affected users:2332,crashes:2515
